"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
114,63,0,0,101,161,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,253,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,159,0,0,0,0,0,11,0,0,0,128,38,50,2,146,124
74,0,0,0,0,0,0,0,143,71,323,0,0,27,16,0,0,0,0,0,0,0
0,281,82,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,73,0,154,0,10,0,9,0,27,0,12,0,0,30,0,41,200,0,2,74,9
0,0,0,0,0,0,0,0,0,0,0,0,0,164,475,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0
0,56,0,164,72,0,0,49,0,18,0,0,0,0,212,24,23,0,0,0,0,13
0,435,0,0,0,0,57,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,108,265
0,76,322,0,59,0,19,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,611,0,0,5,0,0,0,0,0,0,0
2,70,9,0,2,41,40,15,0,7,0,0,0,424,0,0,0,0,0,0,4,0
0,0,0,0,0,0,0,45,0,36,0,64,0,0,108,0,0,15,0,0,134,200
0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11,0,0,11,24,16,16,0,115,0,13,4,23,11,21,87,8,5,195,5,7
0,20,10,0,0,0,47,0,0,0,0,0,0,0,0,15,54,0,0,249,0,198
80,91,0,0,190,0,118,59,0,0,0,0,0,0,0,52,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,144,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,81,0,4,497,0
10,6,19,46,23,15,13,14,7,16,65,39,19,0,16,11,0,13,0,162,54,37
65,106,22,12,6,71,81,170,0,24,0,0,12,13,0,0,0,0,0,0,0,0
4,6,0,0,16,4,0,272,0,41,8,10,0,72,139,0,2,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,517,0
