"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,313,0,12,0,9,0
7,36,12,0,0,43,8,16,6,18,5,2,1,9,30,3,0,9,0,17,15,4
0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,64,49,25,7,53,2,28,0,11,0,5,2,0,0,0,0,0,0,0,0
18,6,0,8,8,0,11,0,0,0,10,0,12,38,7,14,0,20,39,41,0,61
0,0,0,0,1,0,0,40,84,3,0,3,13,8,84,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,6,0,8,55,1,0,7,17,15,31,5,18,78,13
0,0,0,0,0,0,0,0,0,0,13,5,48,0,106,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,109,32,26,33,71,12
24,9,22,74,40,39,20,24,0,2,5,3,2,6,0,0,0,1,0,0,1,3
39,24,6,0,0,12,16,10,0,17,10,15,0,0,0,0,0,61,25,0,0,0
0,43,0,34,0,0,9,0,0,86,0,21,0,0,21,0,0,0,0,0,0,0
59,40,1,0,3,24,2,10,0,14,0,6,30,15,0,19,0,9,27,15,9,10
20,0,195,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5,0,0,33,0,7,0,114,0,0,0,0,0,0,0
0,0,7,12,0,0,2,3,28,17,3,27,4,31,27,6,95,3,0,9,2,0
216,0,9,0,18,5,9,7,0,0,0,0,0,27,0,0,0,0,0,0,0,0
0,29,21,13,34,44,33,7,0,3,7,14,0,0,8,0,7,3,0,0,17,0
0,0,0,3,0,0,0,6,27,125,0,10,16,70,15,0,0,0,0,0,0,0
20,24,2,9,108,10,3,3,5,28,9,0,0,2,0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1,0,0,59,11
8,6,93,0,2,21,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,164,4,0,6,28,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,21,50
6,0,0,4,0,8,35,22,0,15,0,64,22,10,4,0,0,1,0,0,0,0
11,2,6,1,20,2,5,44,0,2,0,33,0,0,71,0,0,2,0,0,0,0
0,0,0,3,0,0,0,0,40,10,12,20,16,9,44,3,6,10,5,0,15,7
60,4,9,56,47,13,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,14,25,14,0,15,9,54,18,26,13,11,17,7,15,6,0,0,0,0,0
0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,130,45,30
0,0,1,4,0,0,2,72,0,0,1,0,0,0,0,6,2,17,11,8,35,35
