"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,7,0,0,0,0,0,0,0,0,49,0,0,0,26,4,24,14,0,0,0
33,20,22,32,7,0,8,0,0,0,0,0,0,0,6,0,8,21,0,6,0,0
9,4,11,9,24,83,8,7,0,0,0,0,0,0,0,0,15,12,0,21,7,18
0,14,30,18,57,0,12,15,0,0,0,0,0,0,0,0,7,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,0,0,0,0
0,23,12,6,3,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0
0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0
36,3,9,3,1,0,5,2,0,29,0,28,0,0,0,0,2,0,0,2,0,10
38,17,16,21,25,57,11,7,0,0,0,0,0,0,10,0,8,0,0,5,0,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,8,17,24,7,16,0
9,0,0,0,0,0,0,0,65,33,8,40,3,0,0,0,0,0,0,0,0,0
0,18,7,30,4,0,2,19,0,0,8,0,0,0,0,0,10,0,6,0,2,17
0,0,12,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,6,12,18,3,0,5,8,0,3,0,26,0,0,0,0,0,0,0,0,0,0
0,7,0,7,14,17,0,20,0,8,8,0,0,47,9,0,0,11,0,0,0,18
0,9,7,9,36,0,0,6,0,0,0,0,0,0,0,16,31,5,0,11,14,17
0,9,16,10,16,0,8,0,0,7,0,0,0,0,0,0,11,0,7,6,2,0
50,10,0,0,0,0,0,0,117,0,0,23,0,0,0,0,0,0,12,0,0,0
36,30,10,13,0,0,20,18,0,0,16,0,6,0,0,0,8,0,13,0,0,0
39,37,16,18,0,0,10,15,0,16,39,0,0,0,0,0,0,0,0,0,0,0
0,0,1,15,0,0,0,0,0,23,0,39,0,0,0,0,0,0,11,0,0,0
44,14,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,5,15,0,20,12,0,0,0,0,0,0,0,0,8,16,0,9,8,43
36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,66,22,0
57,47,11,7,0,0,8,0,0,20,32,0,0,0,0,0,0,0,0,0,0,19
0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,7,32,0,0,0
52,8,8,0,0,64,0,8,62,9,0,22,0,0,0,0,0,0,0,0,0,0
0,13,7,12,0,0,12,14,0,0,11,0,0,0,0,0,12,26,0,14,7,18
0,0,8,22,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,0,0,0,0,5,0,28,0,0,0,0,0,0,0,0,0,0
15,21,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
0,16,9,17,10,0,0,0,0,18,15,31,6,0,0,0,4,8,0,1,0,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,20,0,27,62,2
34,17,5,6,0,0,0,0,23,43,13,0,16,0,0,0,0,0,14,0,0,0
0,25,14,15,0,30,11,2,15,29,17,0,12,15,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,11,0,0,0,18,0,15,10,0,14,76,0
0,0,0,0,0,0,0,0,12,0,0,0,16,0,0,34,29,17,0,11,14,19
24,20,4,6,0,0,0,0,0,27,0,0,0,43,0,0,0,0,0,0,0,0
0,14,8,15,3,15,7,13,0,0,0,0,8,0,0,0,17,17,6,5,0,0
10,0,6,0,0,0,0,0,14,0,10,72,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,64,3,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,34,0,0,0,3,0
0,21,0,0,0,0,0,0,31,0,12,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0,4,8,0,0,0,0,0,17,9,0,0,0,0,0,0,13,0,11,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
0,0,0,0,13,0,0,0,0,0,0,0,8,0,29,29,13,12,0,24,10,26
20,3,4,3,11,58,2,2,14,7,6,0,11,45,0,0,8,0,0,6,0,0
0,7,10,0,14,0,21,8,0,0,23,0,12,0,0,42,15,8,0,0,0,0
0,0,0,0,0,0,32,124,0,0,0,0,6,0,29,0,0,0,0,0,0,0
30,0,19,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,8,0,0,0,0,0,0,17,9,0,0,0,0,0,3,1,0,0,0,0
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,0,18,13,0,7,7,0,4,13,0,15,16,8,0,9,10,0,3,8,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17,10,11,5,0,10,15,0,17,21,0,13,0,11,0,0,7,0,0,0,0
0,0,0,0,0,0,2,0,0,0,9,0,24,0,35,18,0,9,2,0,8,10
11,8,13,9,0,0,1,0,0,11,10,0,0,0,0,0,5,0,0,2,0,12
0,0,0,0,7,0,30,0,0,0,0,0,0,0,9,0,4,0,0,55,17,0
44,21,17,13,14,0,9,0,0,17,4,0,0,0,6,0,0,0,0,0,0,5
0,0,6,0,14,0,22,9,0,0,3,0,32,93,11,0,0,0,0,0,0,0
0,23,20,25,0,0,9,0,12,26,14,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,0,10,31,0,0,14,0,16,0,60,0,6,3,0,7,13,0
75,17,3,0,0,0,0,0,51,6,0,0,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,65,18,0
0,11,10,0,0,40,0,0,34,24,22,0,12,0,0,0,0,0,0,0,0,0
0,8,10,12,15,0,5,12,0,0,0,0,0,0,0,0,4,0,0,3,0,6
0,0,0,0,3,0,0,7,0,0,7,0,6,0,14,0,12,9,0,30,33,0
0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,6,0,0,0,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,2,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,5,0,0,0,0
0,15,0,12,23,0,21,0,0,0,11,0,0,0,20,0,0,0,0,0,9,19
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,46,4,14,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,9,0,19
0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,10,0,0,0
0,4,7,7,35,21,24,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0
0,16,0,16,49,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16,18,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,0,2,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0
